name,rating
Suits,1201
Attack on Titan,1191
The Last Kingdom,1165
Breaking Bad,1095
The Americans,1077
Mr Robot,1072
Game of Thrones,1068
Daredevil,1047
Better Call Saul,1025
Deathnote,1010
Ozark,997
The Punisher,948
Parizad,944
Squid Game,934
White Collar,924
The Queen's Gambit,922
Moon Knight,903
Lupin,897
The Good Place,849
Wanda Vision,849
